date_time_start,crew_members,site_id,camera_id,gps_id,gps_waypoint_number,stream_name,width_meters,length_meters,assessment_comment,habitat_comment,utm_zone,easting,northing,land_owner,access_comment,channel_width,stream_slope,photo_access,photo_upstream,photo_downstream,photo_inlet,photo_mid_channel,photo_outlet,photo_condition,photo_extra1,photo_extra1_tag,photo_extra2,photo_extra2_tag,photo_extra3,photo_extra3_tag,photo_extra4,photo_extra4_tag,photo_extra5,photo_extra5_tag,erosion,erosion_notes,condition,condition_notes,velocity,velocity_notes,photo_velocity,substrate,substrate_notes,photo_substrate,riparian,riparian_notes,photo_riparian,flow_depth,flow_depth_notes,photo_flow_depth,stability,stability_notes,photo_stability,revegetation,revegetation_notes,photo_revegetation,cover,cover_notes,photo_cover,maintenance,maintenance_notes,photo_maintenance,uav_flight
2025-06-19T00:08:28Z,,dummy_site,,,,,,,,,9,659533,6036506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-19T00:25:43Z,AI,2025061801,,,138,Foxy Creek,30,50," Right bank of foxy Creek just upstream of the confluence with the Maxan.  Slipping bank elevated 1.322 m in depth of incision.

Beyond approximately 30 m is a mature mixed trembling Aspen and spruce Forest. In the area where the erosion is occurring is a nicely regenerating area with numerous black Cottonwood and trembling Aspen trees from 0.7 m to 2.5 m in height.          ",       Incredible habitat upstream. Extensive areas of gravel and numerous large woody debris structures with deep pools all suitable for Coho and potentially Chinook spawning.            ,9,687116,6023267,,Accessed from left hand turn after foxy Creek Bridge went heading south. Parked at the end of the road and followed trail loosely down to foxy Creek. Surveyed in the downstream direction towards Maxan.          ,,,ignore_mobile/photos/20250618_173319.jpg,ignore_mobile/photos/20250618_173353.jpg,ignore_mobile/photos/20250618_174210.jpg,ignore_mobile/photos/20250618_173751.jpg,,ignore_mobile/photos/20250618_174202.jpg,,ignore_mobile/photos/20250618_174557.jpg,Dam_breach_ds,ignore_mobile/photos/20250618_174619.jpg,Dam_breach_us,ignore_mobile/photos/20250618_174642.jpg,Plants ,ignore_mobile/photos/20250618_175002.jpg,Confluence_us,ignore_mobile/photos/20250618_175135.jpg,Confluence_ds,,,,,,,,,,ignore_mobile/photos/20250618_174533.jpg,,,ignore_mobile/photos/20250618_174540.jpg,,,,,,ignore_mobile/photos/20250618_174248.jpg,,,ignore_mobile/photos/20250618_174237.jpg,,,,,,,
2025-06-19T23:14:13Z,AI,buc7,,,139,Buck Creek,50,1000,"Physical works, have not been conducted at this site yet so this conserved as a baseline assessment. The stream in the last few years has redirected through a heavily forced Cottonwood area with the main flow bypass, the large, right hand bank corner.          This is an area of heavy simplification of the river due to decking structure on the right bank. Upstream of fear the gore is channelized with defined Dykes on both sides. It appears there has been vegetation clearing along the riprap Dyke likely to reduce risk of failures due to Dropping trees.          ","Site visit is coinciding with descending hydrograph and habitat functioning as side, Channell refuge and Frey rearing habitat. Because the stream is bordered by old growth, Cottonwood and dense willow and dogwood on the left bank there is nice cover as large wood debris and overhanging vegetation. Numerous fry and par scene rising. Adjacent to the Dyke is primarily shallow 30 to 50 cm riffle and glide with abundant gravels of 2 to 6 cm diameter throughout.          ",9,652283,6030774,Municipal,Drive to park and walk in,,,,ignore_mobile/photos/20250619_162300.jpg,ignore_mobile/photos/20250619_162400.jpg,,,ignore_mobile/photos/20250619_162354.jpg,,ignore_mobile/photos/20250619_162706.jpg,New_channel_inlet,ignore_mobile/photos/20250619_162730.jpg, new channel us,ignore_mobile/photos/20250619_162839.jpg,New channel da,ignore_mobile/photos/20250619_163255.jpg,Duke veg removed,,,, No notable erosion besides normal Channell processes with the historic Dyke structure in great shape,,"The steak is in good shape and has very recently had the vegetation cleared from areas that are reaching rating, Cottonwood and older",,"Those are low within this now side, Channell area with velocities appearing to be fairly diverse, depending on where in the Channell          ",ignore_mobile/photos/20250619_162646.jpg,,Nice gravel throughout the area adjacent to the rip wrap. Tutor 8 cm in size and appearing relatively clear but with some algae growth present.          ,ignore_mobile/photos/20250619_163141.jpg,,"Repair vegetation recently removed from face of the Dyke. Old Cross, Cottonwood, dog Wood, and Willow Forest on the other side of the river.          ",ignore_mobile/photos/20250619_162431.jpg,,Lots of great overhanging banks and areas of large debris and overhanging vegetation along the left bank of the now side Channell historic channel. Seems to be functioning very well for frying power rearing with numerous fish no jumping.          ,ignore_mobile/photos/20250619_163104.jpg,,,,,,,,,,,,,Yes
2025-06-20T00:31:15Z,AI,Bul38,,,140,Bulkley River,100,250,Deep of eroded bank is approximately 6m in height. Appears as though the large amount of slumping that took place was likely a result of clearing to accommodate the powerlines.          ,Simple outside right bend of main stem. Large boulder approx 2/3 of the way down the eroded bank,9,651348,6030648,Public,Path from end of municiple road to left bank of River. Site would need to be accessed from the other side of the River down the lowerline,,,,ignore_mobile/photos/20250619_173909.jpg,ignore_mobile/photos/20250619_174002.jpg,ignore_mobile/photos/20250619_173952.jpg,,ignore_mobile/photos/20250619_173927.jpg,,ignore_mobile/photos/20250619_174156.jpg,Powerline,,,,,,,,,,,,,,,ignore_mobile/photos/20250619_174130.jpg,,,ignore_mobile/photos/20250619_174118.jpg,,,ignore_mobile/photos/20250619_174036.jpg,,,ignore_mobile/photos/20250619_174148.jpg,,,,,,,,,,,,,Yes
2025-06-20T01:24:01Z,AI,bul32,,,,Bulkley River,50,300,Historic prescription site likely caused by high energy from riprap area of railway transferring to what appears to be a historic pasture area. Provincial land ownership layer indicates that this land belongs to the municipality. Across the highway just upstream is the location of a tributary stream that appears to have an annual blockage issues related to fever.,Rip wrap along railway leads to outside meander with significant erosion and incision between 1.5 and 2.5 m deep. Some large woody debris at the beginning of the bend then basically none until the far side of the corner where the old growth Cottonwood forest begins.          ,9,649031,6029537,Municipal, Parked on the other side of highway and walked across highway and tracks,,,,ignore_mobile/photos/20250619_185009.jpg,ignore_mobile/photos/20250619_185106.jpg,ignore_mobile/photos/20250619_185025.jpg,,ignore_mobile/photos/20250619_185054.jpg,,ignore_mobile/photos/20250619_185154.jpg,Incision,ignore_mobile/photos/20250619_185209.jpg,Incision_ds,ignore_mobile/photos/20250619_185231.jpg,Incision_us,ignore_mobile/photos/20250619_185739.jpg,Culvert,,,,,,,,,,,,ignore_mobile/photos/20250619_185142.jpg,,,ignore_mobile/photos/20250619_185134.jpg,,,ignore_mobile/photos/20250619_185147.jpg,,,,,,ignore_mobile/photos/20250619_185118.jpg,,,,,,,Yes
2025-06-22T21:27:55Z,AI,Buc207,,,141,Buck Creek,30,100,"It appears there has been recent erosion protection work here by MOTI and contractors with approximately 5 m of 50 to 100 kg rip wrap with geotextile and coconut matting above to the road edge. Road surface is approximately 5 m above the water. There is sparse shrub, regeneration, particularly on the lower side of the area that has been revegetate above the rip wrap with some Willow rose and Cottonwood.          "," Riffle habitat for entire area adjacent to rip rap road edge. There is a breached Beaverdam just upstream of the upstream end of the rip rap. Decent overhanging vegetation on right bank adjacent to fenced pasture land. Upstream on the left bank has excellent shrub, riparian, and what appears to be deeply undercut banks. Downstream there is young coniferous forest and decent riparian providing overhanging veg.          ",9,654577,6011812,Private,On buck Flats Road,,,ignore_mobile/photos/20250622_144912.jpg,ignore_mobile/photos/20250622_144918.jpg,ignore_mobile/photos/20250622_145012.jpg,ignore_mobile/photos/20250622_144947.jpg,,ignore_mobile/photos/20250622_145001.jpg,ignore_mobile/photos/20250622_145020.jpg,ignore_mobile/photos/20250622_145138.jpg,Toe_ds,ignore_mobile/photos/20250622_145248.jpg,Mid_slope_us,,,,,,,4,Minimal erosion present,3, Ros protection works here stable. Revegetation of southern half of slope is primarily sparse grasses and occasional shrub with the north end of the site on a better trajectory towards a meaningful riparian.,2,"Riffle to glide velocity in the middle of the foul wag with slower glide habitat at upstream and due to partial Beaverdam. Rip wrap is providing some refuge areas for Fry and par, but has no overhang cover and is likely a source of heat.          ",ignore_mobile/photos/20250622_145124.jpg,3," Natural substrate within the channel comprised of primarily cobbles. Decently heavy alcohol growth, indicating potentially high nutrient and temperature level levels.",ignore_mobile/photos/20250622_145121.jpg,2,At area where revegetation has been attempted i.e. the top half of the app approximately 10 m long slope has fairly good tree and shrub regeneration at the north end with Willow and Cottonwood plants at height from 2 to 2 1/2 m tall whereas the southern half of the area that’s been re-vegetated is primarily Peard grasses with some Regrowth of Ros and Willow at the very bottom end of the area vegetated.,ignore_mobile/photos/20250622_145117.jpg,2,Flow deaths approximately 20 to 30 cm at the time of assessment which potentially could have been greater if Woody debris or some sort of scour structures were placed under the rock before armouring.,,4,"Slope Pearce stable with only very minor slumping at the top edge of the road where a little bit of the coconut Matt has pulled away from the slope, but overall entire slope appears stable in good condition          ",,2,Southern half of slope has poor to medium regeneration of mostly grasses and occasional shrubs at the bottom edge of the area vegetated whereas the north end of the slope has better tree and shrub regrowth with Cottonwood and Willow individual plants from 2 to 2 1/half metres tall.          ,ignore_mobile/photos/20250622_145032.jpg,1,"Cover for the stream is poor with the bottom 5 m being only riprap. This is probably providing a lot of heat to the stream during hotter times of day and year. There is minor amounts of cover due to the Rockform try and juvenile Fish within the interstitial spaces, but overall Cover is rated as poor.          ",ignore_mobile/photos/20250622_145051.jpg,3," Replanting of top edge of the slope and entire southern side could help regeneration of vegetation in the long-term however, guessing the failure of the original vegetation was due to thermal stress related to the east aspect or some component of the soils so irrigation would likely be required for the first couple years to reduce the risk of Failure          ",,
2025-06-22T22:22:23Z,AI,Buc142,,,142,Buck Creek,30,150,"This is a late 90s prescription location however no physical works appear to have been conducted at this site. There is significant erosion on the left back adjacent to Buck Flats Road with the edge of erosion within a metre and a half of the power and telephone line. Seems likely that this site will require erosion protection or relocation of the road to protect the road and power infrastructure.

Likely a fairly heavy sediment source for the creek. The erosion extends upstream with the entire length of impacted area approximately 150 m long.          ","Fairly simple, riffle habitat with significant large and small wood debris at the downstream end of the site, likely generated from Woody debris that has fallen the stream from the erosion within the impacted polygon.",9,654390,6013287,Private,Off Buck Flats Road,,,ignore_mobile/photos/20250622_153354.jpg,ignore_mobile/photos/20250622_153359.jpg,ignore_mobile/photos/20250622_153430.jpg,ignore_mobile/photos/20250622_153410.jpg,,ignore_mobile/photos/20250622_153417.jpg,,ignore_mobile/photos/20250622_153509.jpg,Location,,,,,,,,,,,,,,,,,Cobble ,ignore_mobile/photos/20250622_153502.jpg,,Young forest upstream and downstream,,,20-50cm,,,Actively slumping,ignore_mobile/photos/20250622_153442.jpg,,,,,Good cover at downstream end of site for to lwd and swd ,,,,,Yes
2025-06-24T00:10:02Z,AI,MX2,,,143,Maxan Creek,15,85,"Site appears to be holding together quite well with sparse shrub cover but primarily economic grasses within footprint of the site. This is a peg boarding and wire site with stinger planted willow whips. Overall height of shrub and occasional Cottonwood cover is estimated at 7%.          

Overall, wondering if this was a site where the stream was jumping the channel and flooding the adjacent likely historic wetland location. From review of ortho imagery and assessment it appears as though this agricultural field is likely a drain wetland area with noticeable trenching along the outside road has been built. There is a die like structure adjacent to the outside of the site running much farther than where treatment was done, indicating this is acting as a levy to keep Maxine creek away from areas used for agriculture.",Simple riffle habitat throughout length of site with Channell primarily on opposite side of the stream. Nice pool area just above top of site on the left bank.                    ,9,684349,6028246,Strimbold,"Through Strimbold property beside the house, then along road at edge of field, then walked across the field to the site          ",,,,ignore_mobile/photos/20250623_172032.jpg,ignore_mobile/photos/20250623_172055.jpg,ignore_mobile/photos/20250623_172037.jpg,,ignore_mobile/photos/20250623_172057.jpg,ignore_mobile/photos/20250623_172127.jpg,ignore_mobile/photos/20250623_171903.jpg,Dyke_ds,ignore_mobile/photos/20250623_172408.jpg,Ditching_by_road,,,,,,,4," No significant erosion, except a tiny bit slightly upstream of where treatment was conducted",3,Does not appear to be any structural issues with the site. Overall shrub regeneration is better at upstream end of site.,2,"Fairly simple, shallow Riffle habitat adjacent to the treatment site. Good value for growing vertebrates, but relatively low value for fish.",,3," Substrate is natural adjacent to treatment footprint with gravel and small cobbles similar to upstream and downstream. Significant LG growth on the substrate, potentially indicating nutrient enrichment.",ignore_mobile/photos/20250623_171923.jpg,2,Downstream riparian appears to be primarily dense willow on both sides of the stream with young spruce forest stream on the LeftBank and mature Cottonwood spruce upstream approximately 80 m on the right bank.          ,ignore_mobile/photos/20250623_172351.jpg,2,The flow is very shallow so not providing habitat for this other than fry along the margins          ,ignore_mobile/photos/20250623_171917.jpg,4, Entire area treated is stable with no evidence of slumping or fail,ignore_mobile/photos/20250623_172306.jpg,2,Riparian regrowth is fair with overall shrub and tree cover estimated at 10%. There is significant ululate browse of the willow which could be interpreted as a good thing.          ,ignore_mobile/photos/20250623_172201.jpg,2,"Site basically does not provide cover for fish, except perhaps a very small amount at the upstream and although most cuttings in that area have not survived.          ",ignore_mobile/photos/20250623_172332.jpg,2,"Area could be replanted with Cottonwood to provide more meaningful riparian Forest in the long-term however, some sort of treatment to deal with competition from agronomic grasses would likely be required to ensure robust growth. Irrigation could also be beneficial.          ",,Yes
2025-06-24T01:01:08Z,AI,MX1,,,144,Maxan Creek,15,130," The structures of the site seem to be holding up well it appears there are seven. Erosion just downstream of the third structure however, the fourth is still intact and a small enlarged weight reach out on a substream and which could result in the deposition of sediments and stabilization of the section in the long-term however, that is uncertain. Beaver activity obvious in this area with a breached down approximately 3/4 of the way Downstream. Overall riparian vegetation regrowth is poor estimated at one to 2% cover of planted willow whips and occasional naturals. It appears as though the planted stock could not compete with the economic grasses present here and may have experienced drought stress since replanting in 2021.           ",Glide and pool habitat with estimated depths to 0.8 m. Primarily find substrates. Some small debris jam on fourth from upstream and Woody debris structure. Very nice gravels suitable for coho or sockeye spawning just downstream of the site.          ,9,686002,6029491,Strimbold ,Drove up road beside field then hopped fence and walked across field. Hopped next fence adjacent to treatment site.,,,,ignore_mobile/photos/20250623_184811.jpg,ignore_mobile/photos/20250623_184851.jpg,ignore_mobile/photos/20250623_184824.jpg,,ignore_mobile/photos/20250623_184843.jpg,,ignore_mobile/photos/20250623_181600.jpg,Beaver_dan_breached,ignore_mobile/photos/20250623_181902.jpg,Gravels_at_downstream_end,ignore_mobile/photos/20250623_190117.jpg,Beaver,,,,,2,There is some significant erosion over an approximately 25 m section of the site between structures three and four. There may have been another structure in between but not sure. Other than that no significant erosion.          ,3," Overall, the woody debris structure seem to be functional and the bank is 95% intact. As mentioned the riparian revegetation is very poor and could be revisited with some sort of aid to help the pot and planted stock compete with Mike grasses.",3,Habitat is primarily collide throughout the treatment area with some scour behind the structures evidence but substrates are primarily Weins indicating overall very low velocity. Good fry and power habitat provided there is enough food.          ,ignore_mobile/photos/20250623_184427.jpg,2,Primarily fines throughout with some pockets of gravel and significant amounts of high value gravels just downstream of the treatment site,ignore_mobile/photos/20250623_184415.jpg,1,"Riparian  regrowth on the site is poor with some survival lower down where plants are closer to the water table and along the bank however, the percent cover of native shrub vegetation is very low and not expected to dominate in the long-term due to competition with economic grasses. At the top of the bank survival is very poor with percent cover estimated that one to 2%.",ignore_mobile/photos/20250623_181652.jpg,3,"Full depth, sir, primarily shallow, but there is significant scour behind large woody debris structures 34 and possibly others with depths exceeding 1 m          ",ignore_mobile/photos/20250623_184555.jpg,3,Generally stability of most structures appears good with structure number three now cracked through the two main logs in the middle and structure for quite exposed due to erosion upstream          ,ignore_mobile/photos/20250623_184644.jpg,,,ignore_mobile/photos/20250623_184857.jpg,,,ignore_mobile/photos/20250623_184611.jpg,,,ignore_mobile/photos/20250623_184629.jpg,Yes
2025-06-24T22:27:25Z,AI,Br5,,,145,Bulkley River,10,250,"Overall, this site is in good shape and functioning well as erosion protection with 10 or more would debris structures than two rock groins. Riparian buffer strip is approximately 10 m to 15 m wide adjacent to agricultural field. Cuttings have been planted within ergonomic sod with what appears to be decent survival but poor cover dominance. It does not seem likely that shrub will become the dominant vegetation layer here without interventions, such as manual, brushing, and the placement of some sort of competition barrier like.",Primarily glide habitat with some Pool areas associated with large wood debris structures. Good fry and rearing habitat along margins and under large wood be and small wood debris adjacent to structures,9,666278,6043919,Groot,Through Groot property across tracks,,,,,ignore_mobile/photos/20250624_153107.jpg,,,,ignore_mobile/photos/20250624_153112.jpg,ignore_mobile/photos/20250624_153813.jpg,Hay_mulch,,,,,,,,,4,          No notable erosion          ,3, All structures appear to be in good state and condition with no notable erosion. Overall riparian Butler width is not meaningful with very small amount of percent cover as it is primarily agronomic grasses.,3,Velocities adjacent to the structures are low with some accumulation of fines behind some of the structures and some scouring and doubt providing for habitat          ,ignore_mobile/photos/20250624_153804.jpg,3,Natural gravel cobble substrate throughout,ignore_mobile/photos/20250624_153749.jpg,2,Riparian upstream is willow with younger cottonwood with downstream being old growth cottonwood,ignore_mobile/photos/20250624_153730.jpg,3,Good flow depth through well with scoured areas adjacent to large wood debris structures having depths at the time of assessment of between .6 and 1.3 m deep          ,,4,"Structures are stable with no notable, shifting or breakage noted          ",ignore_mobile/photos/20250624_153636.jpg,2,"Buffer wildth approximately 5-10m. Willow whips planted in 2021 and 2024 within agronómico sods. Some hay mulch has been spread throughout the site which will help keep some of the competing grasses down. Some new growth on the whips planted last fall      

Plost conducted with phone lidar at 3 random locations 67m,  137m and 182m.           ",ignore_mobile/photos/20250624_153119.jpg,3,"Scour areas adjacent to the structures are providing woody debris, and pool habitat cover. No overhanging vegetation cover yet.          ",ignore_mobile/photos/20250624_153714.jpg,2,Recommend brushing around cuttings and expansion of the buffer zone          ,,Yes
