yr,ano,par,period,region
1951,-2.0195,tmean,annual,Neexdzii Kwah
1952,-0.9055,tmean,annual,Neexdzii Kwah
1953,-0.243,tmean,annual,Neexdzii Kwah
1954,-1.2113,tmean,annual,Neexdzii Kwah
1955,-2.8766,tmean,annual,Neexdzii Kwah
1956,-1.3738,tmean,annual,Neexdzii Kwah
1957,-1.3297,tmean,annual,Neexdzii Kwah
1958,0.5332,tmean,annual,Neexdzii Kwah
1959,-1.589,tmean,annual,Neexdzii Kwah
1960,-1.1685,tmean,annual,Neexdzii Kwah
1961,-0.5012,tmean,annual,Neexdzii Kwah
1962,-0.6833,tmean,annual,Neexdzii Kwah
1963,-0.0312,tmean,annual,Neexdzii Kwah
1964,-1.99,tmean,annual,Neexdzii Kwah
1965,-0.7866,tmean,annual,Neexdzii Kwah
1966,-1.4128,tmean,annual,Neexdzii Kwah
1967,-0.3675,tmean,annual,Neexdzii Kwah
1968,-1.2284,tmean,annual,Neexdzii Kwah
1969,-0.8661,tmean,annual,Neexdzii Kwah
1970,-1.2436,tmean,annual,Neexdzii Kwah
1971,-1.2468,tmean,annual,Neexdzii Kwah
1972,-1.7884,tmean,annual,Neexdzii Kwah
1973,-1.8714,tmean,annual,Neexdzii Kwah
1974,-0.5236,tmean,annual,Neexdzii Kwah
1975,-1.7726,tmean,annual,Neexdzii Kwah
1976,-0.733,tmean,annual,Neexdzii Kwah
1977,-0.7448,tmean,annual,Neexdzii Kwah
1978,-0.5682,tmean,annual,Neexdzii Kwah
1979,-0.6767,tmean,annual,Neexdzii Kwah
1980,-0.3727,tmean,annual,Neexdzii Kwah
1981,0.7013,tmean,annual,Neexdzii Kwah
1982,-1.3346,tmean,annual,Neexdzii Kwah
1983,-0.3879,tmean,annual,Neexdzii Kwah
1984,-0.954,tmean,annual,Neexdzii Kwah
1985,-1.2094,tmean,annual,Neexdzii Kwah
1986,0.1872,tmean,annual,Neexdzii Kwah
1987,1.3143,tmean,annual,Neexdzii Kwah
1988,0.1333,tmean,annual,Neexdzii Kwah
1989,0.5809,tmean,annual,Neexdzii Kwah
1990,0.1158,tmean,annual,Neexdzii Kwah
1991,0.5068,tmean,annual,Neexdzii Kwah
1992,0.5907,tmean,annual,Neexdzii Kwah
1993,0.4926,tmean,annual,Neexdzii Kwah
1994,0.2515,tmean,annual,Neexdzii Kwah
1995,-0.0794,tmean,annual,Neexdzii Kwah
1996,-2.5297,tmean,annual,Neexdzii Kwah
1997,0.4943,tmean,annual,Neexdzii Kwah
1998,0.5285,tmean,annual,Neexdzii Kwah
1999,0.0105,tmean,annual,Neexdzii Kwah
2000,-0.7274,tmean,annual,Neexdzii Kwah
2001,-0.8084,tmean,annual,Neexdzii Kwah
2002,-0.1138,tmean,annual,Neexdzii Kwah
2003,-0.1142,tmean,annual,Neexdzii Kwah
2004,1.437,tmean,annual,Neexdzii Kwah
2005,1.1842,tmean,annual,Neexdzii Kwah
2006,0.4603,tmean,annual,Neexdzii Kwah
2007,-0.193,tmean,annual,Neexdzii Kwah
2008,-0.5085,tmean,annual,Neexdzii Kwah
2009,-0.6097,tmean,annual,Neexdzii Kwah
2010,0.5809,tmean,annual,Neexdzii Kwah
2011,-0.8865,tmean,annual,Neexdzii Kwah
2012,-0.0587,tmean,annual,Neexdzii Kwah
2013,1.7495,tmean,annual,Neexdzii Kwah
2014,0.7002,tmean,annual,Neexdzii Kwah
2015,1.6102,tmean,annual,Neexdzii Kwah
2016,1.3327,tmean,annual,Neexdzii Kwah
2017,-0.2244,tmean,annual,Neexdzii Kwah
2018,0.8093,tmean,annual,Neexdzii Kwah
2019,0.7431,tmean,annual,Neexdzii Kwah
2020,0.3533,tmean,annual,Neexdzii Kwah
2021,0.1901,tmean,annual,Neexdzii Kwah
2022,0.4555,tmean,annual,Neexdzii Kwah
2023,2.3506,tmean,annual,Neexdzii Kwah
2024,0.9108,tmean,annual,Neexdzii Kwah
1951,-4.9061,tmean,winter,Neexdzii Kwah
1952,-2.4144,tmean,winter,Neexdzii Kwah
1953,-0.2531,tmean,winter,Neexdzii Kwah
1954,-0.9984,tmean,winter,Neexdzii Kwah
1955,-1.8937,tmean,winter,Neexdzii Kwah
1956,-3.5289,tmean,winter,Neexdzii Kwah
1957,-4.0022,tmean,winter,Neexdzii Kwah
1958,0.9559,tmean,winter,Neexdzii Kwah
1959,-1.5581,tmean,winter,Neexdzii Kwah
1960,-1.0114,tmean,winter,Neexdzii Kwah
1961,-1.2426,tmean,winter,Neexdzii Kwah
1962,0.1192,tmean,winter,Neexdzii Kwah
1963,1.2267,tmean,winter,Neexdzii Kwah
1964,-2.1679,tmean,winter,Neexdzii Kwah
1965,-1.2531,tmean,winter,Neexdzii Kwah
1966,-1.4043,tmean,winter,Neexdzii Kwah
1967,0.2244,tmean,winter,Neexdzii Kwah
1968,-2.664,tmean,winter,Neexdzii Kwah
1969,-4.3883,tmean,winter,Neexdzii Kwah
1970,-1.7889,tmean,winter,Neexdzii Kwah
1971,-3.3156,tmean,winter,Neexdzii Kwah
1972,-4.4892,tmean,winter,Neexdzii Kwah
1973,-0.9603,tmean,winter,Neexdzii Kwah
1974,0.0565,tmean,winter,Neexdzii Kwah
1975,-2.857,tmean,winter,Neexdzii Kwah
