resource,url,description,sort
Reporting Framework,https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/,Automated reporting system compiling data into structured reports.,1
Resources for researching and understanding Wet'suwet'en Title & History,https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/recommendations.html,Overarching recommendation made and links provided to historical context on Wet'suwet'en land title and territories through Delgamuukw transcripts at https://open.library.ubc.ca/collections/delgamuukw.,2
Collaborative GIS Mapping Tool,https://merginmaps.com/product,"Collaborative mapping application for phone and personal computers with floodplain modeling, surveyed routes, prescriptions, water quality sites, fencing sites, UAV imagery, lidar, and scripts for QGIS. conatact al@newgraphenvironment.com for access. Also see Table 4.1 - https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/results.html#collaborative-gis-environment-1",3
UAV Imagery Viewer and Download Links,https://www.newgraphenvironment.com/stac_uav_bc/,"Platform for viewing and downloading UAV imagery, with instructions for QGIS integration.",5
Historic Imagery,https://www.newgraphenvironment.com/new_graphiti/posts/2024-11-15-bcdata-ortho-historic/,Visualization and export of details of historic ortho-images overlapping the study area.,6
Vegetation Monitoring - Interactive Visualizations,https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/attachment-1---riparian-prescription-example.html,Demonstrates use of lidar on iPhones to gather vegetation monitoring information related to restoration prescription implementation and the open sharing of that data.,7
Leveraging local Data Hubs,https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/appendix-3---skeena-knowledge-trust---data-available-for-download.html,Leveraging other knowledge hubs with interactive tables and functions for viewing and downloading reports and spatial files.,8
Land Cover Analysis,https://www.newgraphenvironment.com/new_graphiti/posts/2024-06-30-land-cover/,"Visualize and quantify remotely sense land cover data for a study area of interest. Can be used in change analysis from historic conditions, impact assessment and restoration monitoring.",10
Precipitation Analysis,https://www.newgraphenvironment.com/new_graphiti/posts/2024-06-19-precipitation/,Visualize and quantify remotely sensed precipitation data for a study area of interest. Can be used to characterize study period against historic conditions. Climate anamoly information can also be evaluated for custom study areas through https://github.com/NewGraphEnvironment/bc_climate_anomaly/tree/newgraph,11
State of the Value - Fish and Fish Habitat,https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/app-esi.html,"Summarized conditions across the study area using data available up to 2018. The analysis was completed at the [assessment watershed level](https://catalogue.data.gov.bc.ca/dataset/freshwater-atlas-assessment-watersheds) and considered a range of environmental indicators related to land and water use, natural watershed features, and salmon presence.",14
Scripted Prioritization Ranking,https://github.com/NewGraphEnvironment/restoration_wedzin_kwa_2024/blob/main/scripts/gis/prioritize.R,Using custom function and scripted workflows we prioritize proposed sites dynamically based on a range of metrics and user defined ranking.  Proof of concept within the shared QGIS project with parameters used included within https://www.newgraphenvironment.com/restoration_wedzin_kwa_2024/results.html#future-restoration-site-selection-1,15
Time Series Analysis,https://www.newgraphenvironment.com/new_graphiti/posts/2026-01-08-stac-ortho-mosaics/,Workflow for visualizing landscape change over time using historic and current orthoimagery. Example application at Maxan Creek near confluence with Bulkley Lake.,16
Climate Anomaly Analysis,https://github.com/NewGraphEnvironment/bc_climate_anomaly/tree/newgraph,Fork of bcgov/bc_climate_anomaly modified to accept custom areas of interest. Used to generate climate context figures in Appendix 1 showing conditions before and during the study period.,17
