idx,site_id,site_name_proposed,source,name_basin,lon,lat,total_score,bulkley_falls_downstream,floodplain_ind,owner_type,name_wet_house,house,clan,clan_english,chiefs,model_spawning_ch,model_spawning_co,model_spawning_st,model_spawning_ch_score,model_spawning_co_score,model_spawning_st_score,model_rearing_ch,model_rearing_co,model_rearing_st,model_rearing_ch_score,model_rearing_co_score,model_rearing_st_score,gate_diagnostic_certainty,gate_active_degradation_clear,gate_access_willingness,project_type,watershed_function_gain,root_cause_alignment,scale_of_benefit_ha,fish_habitat_connectivity,probability_of_success,cultural_significance,collective_wellbeing,passive_first_bonus,delivery_bucket,framework_score,notes
1,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.34217264478548,54.51020416776789,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,RC3-2021,sites_poly,Bulkley JDavid-Richfield,-126.3421642141289,54.51009609872381,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.33876508876975,54.512709395143105,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.33864297527633,54.51339895969912,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,RC2-2021,sites_poly,Bulkley JDavid-Richfield,-126.33850002030029,54.513458743665396,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,RC2-2021,sites_poly,Bulkley JDavid-Richfield,-126.33852319342473,54.514052614237436,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.33467232110036,54.52026995580987,18,0,0,Untitled Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.33513537522913,54.5209904007236,24,0,0,Untitled Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.3353026584523,54.52150653638849,24,0,0,Untitled Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,sites_poly,Bulkley JDavid-Richfield,-126.33597010278784,54.52241128976738,27,0,1,Untitled Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,BR2-2021,sites_poly,Bulkley Richfield-Falls,-126.32100831167499,54.505439448770296,22,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,BR1-2021,sites_poly,Bulkley Richfield-Falls,-126.31804370161566,54.50470840020012,22,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,BR5-2016,sites_poly,Bulkley Byman-JDavid,-126.43214838516926,54.515979235875264,20,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,BR4-2016,sites_poly,Bulkley Byman-JDavid,-126.42377493175546,54.514479495955364,20,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,BR3-2016,sites_poly,Bulkley Byman-JDavid,-126.40339447465989,54.518853076463344,20,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,MX1-2021,sites_poly,Bulkley Upstream Falls,-126.13526356671703,54.37887531730414,17,1,1,Private,Tasdlegh,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,MX2-?,sites_poly,Maxam Creek,-126.1618685679347,54.36852624246091,11,1,1,Private,Tasdlegh,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,RC1-2021,sites_poly,Bulkley JDavid-Richfield,-126.33786366566407,54.51730156909319,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,RC3-2021,sites_poly,Bulkley JDavid-Richfield,-126.34200669618085,54.51038032395914,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,sites_wfn_proposed,Bulkley Houston-McKilligan,-126.5208978128636,54.46075518740659,20,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,sites_wfn_proposed,Bulkley Houston-McKilligan,-126.52151030420035,54.45930239488867,20,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,sites_wfn_proposed,Bulkley Houston-McKilligan,-126.52670306959617,54.45788953806765,14,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,sites_wfn_proposed,Bulkley Houston-McKilligan,-126.53475977836581,54.45195008636782,20,0,1,Private,Tse Zul,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,sites_wfn_proposed,Bulkley Houston-McKilligan,-126.54972167136187,54.44528738338706,14,0,1,Private,Tse Zul,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,sites_wfn_proposed,Bulkley-Houston,-126.62003026839777,54.41282891912645,20,0,1,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,sites_wfn_proposed,Bulkley-Houston,-126.62769397332251,54.41223360843614,18,0,1,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,0,1,0,0,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,sites_wfn_proposed,Bulkley Byman-JDavid,-126.40343735276964,54.518907938521714,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,sites_wfn_proposed,Bulkley Upstream Falls,-126.13548608394832,54.378997483403865,17,1,1,Private,Tasdlegh,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,sites_wfn_proposed,Buck Creek Downstream Falls,-126.65032898234792,54.39644080292783,30,0,1,Local Government,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,sites_wfn_proposed,Bulkley JDavid-Richfield,-126.36988043600729,54.52166157500828,27,0,0,Crown Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,sites_wfn_proposed,NA,-126.91994540390085,54.62087415719837,27,0,0,Crown Provincial,Cosl'et Bin,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,sites_wfn_proposed,NA,-126.97570201313385,54.63195882406058,27,0,0,Crown Provincial,Cosl'et Bin,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,sites_wfn_proposed,NA,-126.97000893256258,54.63395789363467,19,0,2,Private,Cosl'et Bin,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,sites_wfn_proposed,NA,-126.79236552052036,54.36075496713188,22,0,0,Untitled Provincial,Ts'in K'oz'ay,ANASKASKI,GITDUMDEN,"BEAR, WOLF",MADEEK,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,ncfdc_1998_prescriptions,Bulkley JDavid-Richfield,-126.33690996574252,54.51557239976001,27,0,1,Crown Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,ncfdc_1998_prescriptions,Bulkley JDavid-Richfield,-126.3434472467801,54.50818240516195,17,0,1,Private,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,ncfdc_1998_prescriptions,Bulkley JDavid-Richfield,-126.33758931428169,54.5241281541545,27,0,1,Untitled Provincial,'Ilh K'il Bin,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,ncfdc_1998_prescriptions,Bulkley Byman-JDavid,-126.41734956726778,54.52129172264697,17,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
